Name,Line,Sentiment,Irony
Aberforth Dumbledore,Sorry to hear it. I liked that elf.,0.0499999999999999,[ 1.0759459  -0.40682283]
Aberforth Dumbledore,"Mundungus Fletcher, 'bout a year ago.",0.0,[ 1.6359102  -0.71387076]
Harry Potter,Dung had no right selling you that. It belonged to --,-0.1428571428571428,[ 1.9934382 -1.4219029]
Aberforth Dumbledore,Sirius. Albus told me. He also told me that you'd likely be hacked off if you ever found out I had it. But ask yourself where you'd be if I didn't.,0.0,[ 1.4701016  -0.90641904]
Aberforth Dumbledore,"Right then. Reckon you're hungry. Let's get you fed, then think of the best way to get you out of here.",0.6428571428571428,[ 2.0265377 -1.355939 ]
Hermione Granger,Do you hear much from the others? From the Order?,0.2,[ 2.1109796 -1.3362018]
Aberforth Dumbledore,The Order is finished. You-Know- Who's won. Anyone who says otherwise is kidding themselves.,0.0,[ 1.5718648  -0.96720135]
Harry Potter,We need to get into Hogwarts. Dumbledore gave us a job to do.,0.0,[ 0.5916325  -0.21282625]
Aberforth Dumbledore,Did he now? Nice job? Easy?,0.5166666666666666,[0.05075247 0.26059997]
Harry Potter,We've been hunting Horcruxes. We think the last one's in the school. But we'll need your help getting in.,0.0,[ 1.7172499 -0.9456464]
Harry Potter,"If we can find it and kill it, then we kill him, and then we can end this war once and for all. We need to get into Hogwarts tonight.",0.0,[ 1.9480153 -1.1728326]
Aberforth Dumbledore,"It's not a job my brother's given you, it's a suicide mission. Do yourself a favor boy. Go home. Live a little longer.",-0.0255681818181818,[ 1.8526123 -1.1645831]
Harry Potter,"Dumbledore trusted me, to see this through.",0.0,[ 0.75515443 -0.16724199]
Harry Potter,Why should he...,0.0,[ 1.6145216 -0.9803658]
Aberforth Dumbledore,Keep secrets? You tell me.,0.0,[ 1.6308157 -0.9689655]
Harry Potter,I only care about the Dumbledore I knew. I trusted him.,0.0,[ 0.5854498  -0.12881652]
Aberforth Dumbledore,Did you now? And why is that?,0.0,[ 2.1941986 -1.3998766]
Harry Potter,I had no reason not to —-,0.0,[ 1.6658466 -1.0338316]
Aberforth Dumbledore,"That's a boy's answer. A boy who goes chasing Horcruxes on the word of a man who won't even tell him where to start. You're lying. Not just to me, which doesn't matter, but to yourself as well. That's what a fool does.",0.0,[ 1.2421426 -0.6750974]
Harry Potter,You're drunk.,-0.5,[0.34740934 0.21938407]
Aberforth Dumbledore,"You don't strike me as a fool, Mr. Potter. So I'll ask you again. There must be a reason. Why do you trust anything my brother ever said to you? Why?",0.0,[ 2.065687  -1.3765496]
Aberforth Dumbledore,You know what to do...,0.0,[0.60321796 0.0141475 ]
Harry Potter,Where've you sent her?,0.0,[ 2.1165557 -1.3323805]
Aberforth Dumbledore,You'll see soon enough.,0.0,[0.6637784  0.01481239]
Hermione Granger,"That's Ariana, isn't it? Your sister. She's beautiful.",0.85,[ 1.5095885  -0.66536945]
Aberforth Dumbledore,She'll always be beautiful.,0.85,[0.58554065 0.27226633]
Hermione Granger,"She died very young, didn't she.",0.13,[ 1.3051219 -0.6941406]
Aberforth Dumbledore,"My brother sacrificed many things, Mr. Potter, in his journey to find power, including her. She was devoted to him -- he gave her everything, but time.",0.5,[ 1.7479147 -1.1016291]
Hermione Granger,Mr. Dumbledore... thank you.,0.0,[-0.9514804  1.1285499]
Hermione Granger,"Did save our lives twice. Kept an eye on us in that mirror. That doesn't seem like someone who's given up, does it?",0.0,[ 1.5463572  -0.77594644]
Hermione Granger,She's coming back! And she's got someone with her!,0.0,[ 1.6165063  -0.73446476]
Ron Weasley,Who's that with her? Bloody hell...,-0.8,[ 2.1166964 -1.240291 ]
Neville Longbottom,I knew you'd come! I told them alii! Harry Potter would never abandon Hogwarts!,0.0,[ 1.3687787 -0.6427115]
Harry Potter,"Neville, you look...",0.0,[ 0.75959474 -0.2319443 ]
Neville Longbottom,Like hell? I reckon. This is nothing. Seamus is worse. You'll see. Hermione! Ron!,-0.625,[ 2.14422   -1.2628009]
Neville Longbottom,"Hey, Ab. There might be a couple more people on the way.",0.5,[ 1.4391022 -0.8050163]
Neville Longbottom,Well? Ready?,0.2,[ 2.124075  -1.2427766]
Ron Weasley,I don't remember this being on the Marauder's Map.,0.0,[ 1.4119456 -0.570325 ]
Neville Longbottom,That's because it never existed till now. The seven secret passages were sealed off before the start of the year. This is the only way in or out now. The grounds are crawling with Death Eaters and Dementors.,-0.2,[ 1.1560036 -0.6018077]
Hermione Granger,"How bad is it, Neville? With Snape as Headmaster.",-0.6999999999999998,[ 1.9804728 -1.208401 ]
Neville Longbottom,Hardly ever see him. It's the Carrows you have to watch out for.,-0.2916666666666667,[ 1.7622675 -1.0304639]
